"address","city","state","zip","full_address","lat","long","id","input_address","match_indicator","match_type","matched_address","tiger_line_id","tiger_side","state_fips","county_fips","census_tract","census_block"
"4324 chester drive #3","boardman","OH",44512,"4324 chester drive #3, boardman, OH, 44512",41.0554921582709,-80.6643883415004,6585,"4324 chester drive #3, boardman, OH, 44512, , , ","Match","Exact","4324 CHESTER DR, BOARDMAN, OH, 44512","64598670","R","39","099","811400","1022"
"1102 burlake sq 1102","columbus","OH",45119,"1102 burlake sq 1102, columbus, OH, 45119",39.929227527458,-83.1479200361962,6586,"1102 burlake sq 1102, columbus, OH, 45119, , , ","Match","Non_Exact","1102 BURLAKE SQ, GALLOWAY, OH, 43119","627088168","R","39","049","008169","1001"
"c/o 3242 medina rd","medina","OH",44256,"c/o 3242 medina rd, medina, OH, 44256",41.1361623640581,-81.8037959259377,6587,"c/o 3242 medina rd, medina, OH, 44256, , , ","Match","Exact","3242 MEDINA RD, MEDINA, OH, 44256","58689900","R","39","103","408301","2000"
"3805 brotherton rd","cincinnati","OH",45209,"3805 brotherton rd, cincinnati, OH, 45209",39.1535276810067,-84.4106918017888,6588,"3805 brotherton rd, cincinnati, OH, 45209, , , ","Match","Exact","3805 BROTHERTON RD, CINCINNATI, OH, 45209","103961681","R","39","061","005302","3000"
"25 w new england ave","worthingto","OH",43085,"25 w new england ave, worthingto, OH, 43085",40.0867662286818,-83.0190974762182,6589,"25 w new england ave, worthingto, OH, 43085, , , ","Match","Non_Exact","25 W NEW ENGLAND AVE, WORTHINGTON, OH, 43085","135569039","L","39","049","006710","2012"
"24651 center ridge route   ste 100","westlake","OH",44145,"24651 center ridge route   ste 100, westlake, OH, 44145",41.4578581423382,-81.8934682164625,6590,"24651 center ridge route   ste 100, westlake, OH, 44145, , , ","Match","Non_Exact","24651 CENTER RIDGE RD, WESTLAKE, OH, 44145","61139324","L","39","035","189107","3000"
"1715 columbus ave","sandusky","OH",44870,"1715 columbus ave, sandusky, OH, 44870",41.4405352028002,-82.7025949626772,6591,"1715 columbus ave, sandusky, OH, 44870, , , ","Match","Exact","1715 COLUMBUS AVE, SANDUSKY, OH, 44870","55326545","L","39","043","041100","3008"
"7554 voice of america centre dr","west chester","OH",45069,"7554 voice of america centre dr, west chester, OH, 45069",39.3583715014425,-84.3629608050543,6592,"7554 voice of america centre dr, west chester, OH, 45069, , , ","Match","Exact","7554 VOICE OF AMERICA CENTRE DR, WEST CHESTER, OH, 45069","617121721","L","39","017","011109","1000"
"1058 columbus st","chillicothe","OH",45601,"1058 columbus st, chillicothe, OH, 45601",39.3310498260171,-82.9507513043125,6593,"1058 columbus st, chillicothe, OH, 45601, , , ","Match","Exact","1058 COLUMBUS ST, CHILLICOTHE, OH, 45601","37482036","R","39","141","956500","4015"
"1150-b n canfield-niles","austintown","OH",NA,"1150-b n canfield-niles, austintown, OH, NA",41.129242892472,-80.768527552559,6594,"1150-b n canfield-niles, austintown, OH, NA, , , ","Match","Non_Exact","1150 N CANFIELD NILES RD, AUSTINTOWN, OH, 44515","64606284","L","39","099","812500","3009"
"6473 proprietors rd","worthington","OH",NA,"6473 proprietors rd, worthington, OH, NA",40.0982845026884,-83.0036103789445,6595,"6473 proprietors rd, worthington, OH, NA, , , ","Match","Non_Exact","6473 PROPRIETORS RD, WORTHINGTON, OH, 43085","218686912","L","39","049","006722","2000"
"po box 176","quaker city","OH",NA,"po box 176, quaker city, OH, NA",NA,NA,6596,"po box 176, quaker city, OH, NA, , , ","No_Match",NA,NA,NA,NA,NA,NA,NA,NA
"east high street","flushing","OH",43977,"east high street, flushing, OH, 43977",NA,NA,6597,"east high street, flushing, OH, 43977, , , ","No_Match",NA,NA,NA,NA,NA,NA,NA,NA
"9600 jacksontown rd","jacksontown","OH",NA,"9600 jacksontown rd, jacksontown, OH, NA",39.9534076214505,-82.411967715952,6598,"9600 jacksontown rd, jacksontown, OH, NA, , , ","Match","Non_Exact","9600 JACKSONTOWN RD, JACKSONTOWN, OH, 43030","61550308","L","39","089","758602","3038"
"7990 cedar park dr","canfield","OH",44406,"7990 cedar park dr, canfield, OH, 44406",41.0144119402211,-80.7989500515765,6599,"7990 cedar park dr, canfield, OH, 44406, , , ","Match","Exact","7990 CEDAR PARK DR, CANFIELD, OH, 44406","64608258","L","39","099","812102","2026"
"1129 brookhouse ln","gahanna","OH",43230,"1129 brookhouse ln, gahanna, OH, 43230",40.0465514025531,-82.8376290563568,6600,"1129 brookhouse ln, gahanna, OH, 43230, , , ","Match","Exact","1129 BROOKHOUSE LN, GAHANNA, OH, 43230","218694237","R","39","049","007306","2031"
"30 strausbaugh ave","youngstown","OH",44505,"30 strausbaugh ave, youngstown, OH, 44505",41.1145288088406,-80.6400909585623,6601,"30 strausbaugh ave, youngstown, OH, 44505, , , ","Match","Exact","30 STRAUSBAUGH AVE, YOUNGSTOWN, OH, 44505","64596491","L","39","099","804000","1033"
