tendigit_fips,year,subdivisionname,subdivisiontype,county,taxtype,purpose2,description,duration,millagepercent,votesfor,votesagainst,votes_pct_for,votes_pct_against,fips_id,margin_against,failed_levy,close_3,close_5,close_7_5
3900579758,1993,Vermillion,Township,Ashland,Property,roads,R,5,.8,328,199,62.23908996582031,37.76091003417969,3900579758,-12.239089965820313,0,0,0,0
3900579758,1996,Vermillion,Township,Ashland,Property,roads,A,-999,1.5,332,213,60.91743087768555,39.08256912231445,3900579758,-10.917430877685547,0,0,0,0
3900579758,1998,Vermillion,Township,Ashland,Property,roads,R,5,.8,607,263,69.7701187133789,30.229881286621094,3900579758,-19.770118713378906,0,0,0,0
3900579758,1999,Vermillion,Township,Ashland,Property,roads,R,5,1.5,544,93,85.40031433105469,14.599685668945313,3900579758,-35.40031433105469,0,0,0,0
3900579758,2002,Vermillion,Township,Ashland,Property,roads,R,5,.8,189,148,56.08308792114258,43.91691207885742,3900579758,-6.083087921142578,0,0,0,1
3900579758,2004,Vermillion,Township,Ashland,Property,roads,R,5,1.5,348,278,55.5910530090332,44.4089469909668,3900579758,-5.591053009033203,0,0,0,1
3900579758,2008,Vermillion,Township,Ashland,Property,roads,R,5,.08,559,646,46.39004135131836,53.60995864868164,3900579758,3.6099586486816406,1,0,1,1
3900579758,2010,Vermillion,Township,Ashland,Property,roads,R,5,1.5,784,214,78.55711364746094,21.442886352539063,3900579758,-28.557113647460938,0,0,0,0
3900579758,2012,Vermillion,Township,Ashland,Property,roads,R,5,.8,640,360,64,36,3900579758,-14,0,0,0,0
3900579758,2014,Vermillion,Township,Ashland,Property,roads,R,5,1.5,578,242,70.48780822753906,29.512191772460938,3900579758,-20.487808227539063,0,0,0,0
3900579758,2019,Vermillion,Township,Ashland,property,roads,R,5,1.5,458,101,81.93202209472656,18.067977905273438,3900579758,-31.932022094726563,0,0,0,0
3900579758,2021,Vermillion,Township,Ashland,property,roads,R,5,.8,305,122,71.42857360839844,28.571426391601563,3900579758,-21.428573608398438,0,0,0,0
3900702050,2011,Andover,Village,Ashtabula,Property,roads,R,5,2,319,189,62.7952766418457,37.2047233581543,3902050,-12.795276641845703,0,0,0,0
3900702064,1993,Andover,Township,Ashtabula,Property,roads,R,5,2,296,129,69.64705657958984,30.352943420410156,3900702064,-19.647056579589844,0,0,0,0
3900702064,1994,Andover,Township,Ashtabula,Property,roads,R,5,1,305,174,63.674320220947266,36.325679779052734,3900702064,-13.674320220947266,0,0,0,0
3900702064,1997,Andover,Township,Ashtabula,Property,roads,A,5,2,108,59,64.67066192626953,35.32933807373047,3900702064,-14.670661926269531,0,0,0,0
3900702064,1998,Andover,Township,Ashtabula,Property,roads,R,5,2,293,178,62.20806884765625,37.79193115234375,3900702064,-12.20806884765625,0,0,0,0
3900702064,2000,Andover,Township,Ashtabula,Property,roads,R,5,1,368,234,61.12957000732422,38.87042999267578,3900702064,-11.129570007324219,0,0,0,0
3900702064,2001,Andover,Township,Ashtabula,Property,roads,R,5,2,319,136,70.109893798828125,29.890106201171875,3900702064,-20.109893798828125,0,0,0,0
3900702064,2002,Andover,Township,Ashtabula,Property,roads,R,5,2,236,201,54.00457763671875,45.99542236328125,3900702064,-4.00457763671875,0,0,1,1
3900702064,2005,Andover,Township,Ashtabula,Property,roads,R,5,1,245,183,57.24299240112305,42.75700759887695,3900702064,-7.242992401123047,0,0,0,1
3900702064,2006,Andover,Township,Ashtabula,Property,roads,R,5,2,360,251,58.919803619384766,41.080196380615234,3900702064,-8.919803619384766,0,0,0,0
3900702064,2009,Andover,Township,Ashtabula,Property,roads,R,5,1,280,150,65.11627960205078,34.88372039794922,3900702064,-15.116279602050781,0,0,0,0
3900702064,2011,Andover,Township,Ashtabula,Property,roads,R,5,2,319,189,62.7952766418457,37.2047233581543,3900702064,-12.795276641845703,0,0,0,0
3900702064,2012,Andover,Township,Ashtabula,Property,roads,R,5,2,471,313,60.07653045654297,39.92346954345703,3900702064,-10.076530456542969,0,0,0,0
3900702064,2014,Andover,Township,Ashtabula,Property,roads,R,5,1,336,141,70.44025421142578,29.55974578857422,3900702064,-20.44025421142578,0,0,0,0
3900702064,2017,Andover,Township,Ashtabula,Property,roads,R,5,2,234,96,70.909088134765625,29.090911865234375,3900702064,-20.909088134765625,0,0,0,0
3900702064,2018,Andover,Township,Ashtabula,Property,roads,R,5,2,453,181,71.45110321044922,28.54889678955078,3900702064,-21.45110321044922,0,0,0,0
3900702064,2019,Andover,Township,Ashtabula,property,roads,R,5,1,281,84,76.986297607421875,23.013702392578125,3900702064,-26.986297607421875,0,0,0,0
3900702064,2021,Andover,Township,Ashtabula,property,roads,R,5,2,190,72,72.51908111572266,27.480918884277344,3900702064,-22.519081115722656,0,0,0,0
3900702638,2007,Ashtabula,City,Ashtabula,Income,roads,A,2,.2,1258,2387,34.513031005859375,65.486968994140625,3902638,15.486968994140625,1,0,0,0
3900702638,2008,Ashtabula,City,Ashtabula,Income,roads,A,3,.15,2445,4596,34.725181579589844,65.27481842041016,3902638,15.274818420410156,1,0,0,0
3900702638,2019,Ashtabula,City,Ashtabula,property,roads,A,5,4,1354,992,57.71525955200195,42.28474044799805,3902638,-7.715259552001953,0,0,0,0
3900702652,1992,Ashtabula,Township,Ashtabula,Property,roads,R,5,1,1083,581,65.084136962890625,34.915863037109375,3900702652,-15.084136962890625,0,0,0,0
