"tendigit_fips","year","tax_type","purpose2","description","millage_percent","duration","votes_pct_for","fail_flg"
3900901112,1994,"Property","roads","A",1,5,65.4135338345865,0
3900901112,2014,"Property","roads","A",1,1000,60.486674391657,0
3900901770,1994,"Property","roads","R",1,5,65.8892128279883,0
3900901770,1995,"Property","roads","R",2,5,73.4782608695652,0
3900901770,1996,"Property","roads","A",2,5,63.0979498861048,0
3900901770,1999,"Property","roads","R",1,5,78,0
3900901770,2000,"Property","roads","R",2,5,68.1222707423581,0
3900901770,2001,"Property","roads","R",2,5,75.9398496240601,0
3900901770,2004,"Property","roads","R",1,5,64.0595903165736,0
3900901770,2005,"Property","roads","R",2,5,65.1315789473684,0
3900901770,2006,"Property","roads","R",2,5,70.0228832951945,0
3900901770,2008,"Property","roads","R",1,5,69.0661478599222,0
3900901770,2010,"Property","roads","R",2,5,72.3350253807107,0
3900901770,2011,"Property","roads","R",2,5,74.2857142857143,0
3900901770,2014,"Property","roads","R",1,5,78.2729805013928,0
3900901770,2015,"Property","roads","R",2,5,72.5988700564972,0
3900901770,2016,"Property","roads","R",2,5,73.8317757009346,0
3900902736,1993,"Income","roads","A",0.1,10,55.6401992382069,0
3900902736,2001,"Income","roads","A",1,10,56.4533428673579,0
3900902736,2010,"Income","roads","A",0.1,10,64.105504587156,0
3900902750,1991,"Property","roads","A",3,5,42.8879310344828,1
3900902750,1994,"Property","roads","R",3,5,65.5405405405405,0
3900902750,1999,"Property","roads","R",3,5,64.1991924629879,0
3900902750,2004,"Property","roads","R",1.5,5,56.2890276538805,0
3900902750,2008,"Property","roads","R",1.5,5,58.405236536745,0
3900902750,2014,"Property","roads","R",1.5,5,72.6137377341659,0
3900902750,2018,"Property","roads","R",1.5,5,73.8679571379191,0
3900905942,2000,"Property","roads","R",1,4,71.5789473684211,0
3900905942,2004,"Property","roads","R",1,4,71.1340206185567,0
3900905942,2008,"Property","roads","R",1,4,66.3967611336032,0
3900905942,2012,"Property","roads","R",1,5,66.9387755102041,0
3900905942,2016,"Property","roads","R",1,5,63.7450199203187,0
3900911220,1991,"Property","roads","R",0.5,5,72.0496894409938,0
3900911220,2001,"Property","roads","R",2,5,73.3796296296296,0
3900911220,2005,"Property","roads","R",2,5,75.3112033195021,0
3900911220,2010,"Property","roads","R",2,5,73.1369150779896,0
3900911220,2015,"Property","roads","R",2,5,78.3783783783784,0
3900912336,1993,"Property","roads","A",1.5,5,32.7800829875519,1
3900912336,1998,"Property","roads","A",3,5,40.8521303258145,1
3900912336,2000,"Property","roads","A",2,5,47.6190476190476,1
3900912336,2001,"Property","roads","A",2,5,32.8947368421053,1
3900912336,2002,"Property","roads","A",2,2,40.6360424028269,1
3900912336,2004,"Property","roads","A",2,2,42.896174863388,1
3900912336,2005,"Property","roads","A",2,2,46.6083150984683,1
3900912336,2006,"Property","roads","A",3,5,47.7941176470588,1
3900912336,2007,"Property","roads","A",3,5,51.0948905109489,0
3900912336,2011,"Property","roads","R",3,5,54.5647558386412,0
3900912336,2016,"Property","roads","R",3,5,64.8888888888889,0
3900913778,2002,"Property","roads","R",1,5,58,0
3900918588,1993,"Property","roads","A",2,3,43.3928571428571,1
3900918588,1994,"Property","roads","A",2,3,43.8202247191011,1
3900918588,1995,"Property","roads","A",2,5,45.7308248914617,1
3900918588,1997,"Property","roads","A",2,5,43.3333333333333,1
3900918588,1998,"Property","roads","A",3,5,50,0
